mineral,stage,hs_code_queried,hs_description,period,reporterCode,reporterISO,reporterDesc,partnerCode,partnerISO,partnerDesc,flowCode,flowDesc,cmdCode,cmdDesc,primaryValue,netWgt,grossWgt,qty,qtyUnitAbbr,cifvalue,fobvalue
nickel,primary,260400,Nickel ores and concentrates,2023,384,CIV,Côte d'Ivoire,170,COL,Colombia,X,Export,260400,Nickel ores and concentrates,2.01,300.0,0.0,300.0,kg,,2.01
nickel,primary,260400,Nickel ores and concentrates,2023,384,CIV,Côte d'Ivoire,214,DOM,Dominican Rep.,X,Export,260400,Nickel ores and concentrates,2857510.568,76005800.0,0.0,76005800.0,kg,,2857510.568
nickel,primary,260400,Nickel ores and concentrates,2023,384,CIV,Côte d'Ivoire,300,GRC,Greece,X,Export,260400,Nickel ores and concentrates,10359919.342,243389700.0,0.0,243389700.0,kg,,10359919.342
nickel,primary,260400,Nickel ores and concentrates,2023,384,CIV,Côte d'Ivoire,899,_X ,"Areas, nes",X,Export,260400,Nickel ores and concentrates,30346758.641,670065000.0,0.0,670065000.0,kg,,30346758.641
nickel,primary,260400,Nickel ores and concentrates,2023,398,KAZ,Kazakhstan,0,W00,World,X,Export,260400,Nickel ores and concentrates,249182.6,496000.0,0.0,496000.0,kg,,249182.6
nickel,primary,260400,Nickel ores and concentrates,2023,398,KAZ,Kazakhstan,156,CHN,China,X,Export,260400,Nickel ores and concentrates,249182.6,496000.0,0.0,496000.0,kg,,249182.6
nickel,primary,260400,Nickel ores and concentrates,2023,410,KOR,Rep. of Korea,0,W00,World,X,Export,260400,Nickel ores and concentrates,1028429.0,1180484.5,0.0,1180484.5,kg,,1028429.0
nickel,primary,260400,Nickel ores and concentrates,2023,410,KOR,Rep. of Korea,276,DEU,Germany,X,Export,260400,Nickel ores and concentrates,93972.0,58530.0,0.0,58530.0,kg,,93972.0
nickel,primary,260400,Nickel ores and concentrates,2023,410,KOR,Rep. of Korea,392,JPN,Japan,X,Export,260400,Nickel ores and concentrates,625697.0,52026.5,0.0,52026.5,kg,,625697.0
nickel,primary,260400,Nickel ores and concentrates,2023,410,KOR,Rep. of Korea,528,NLD,Netherlands,X,Export,260400,Nickel ores and concentrates,60110.0,6780.0,0.0,6780.0,kg,,60110.0
nickel,primary,260400,Nickel ores and concentrates,2023,410,KOR,Rep. of Korea,704,VNM,Viet Nam,X,Export,260400,Nickel ores and concentrates,134458.0,225860.0,0.0,225860.0,kg,,134458.0
nickel,primary,260400,Nickel ores and concentrates,2023,410,KOR,Rep. of Korea,764,THA,Thailand,X,Export,260400,Nickel ores and concentrates,114192.0,837288.0,0.0,837288.0,kg,,114192.0
nickel,primary,260400,Nickel ores and concentrates,2023,418,LAO,Lao People's Dem. Rep.,0,W00,World,X,Export,260400,Nickel ores and concentrates,101937.96,55000.0,0.0,55000.0,kg,,101937.96
nickel,primary,260400,Nickel ores and concentrates,2023,418,LAO,Lao People's Dem. Rep.,156,CHN,China,X,Export,260400,Nickel ores and concentrates,33000.0,30000.0,0.0,30000.0,kg,,33000.0
nickel,primary,260400,Nickel ores and concentrates,2023,418,LAO,Lao People's Dem. Rep.,704,VNM,Viet Nam,X,Export,260400,Nickel ores and concentrates,68937.96,25000.0,0.0,25000.0,kg,,68937.96
nickel,primary,260400,Nickel ores and concentrates,2023,440,LTU,Lithuania,0,W00,World,X,Export,260400,Nickel ores and concentrates,4238.0,6010.0,0.0,6010.0,kg,,4238.0
